ip,app,device,os,channel,click_time,attributed_time
83230,3,1,13,379,52341,1000000
204158,35,1,13,21,56467,59772
83366,3,1,13,379,57519,1000000
209663,2,1,17,469,57601,1000000
153926,15,1,18,245,57601,1000000
29692,9,1,22,215,57602,65120
64516,35,1,13,21,57602,27648
5200,15,1,19,140,57602,1000000
172429,35,1,46,274,57603,32126
52653,18,3032,607,107,57603,1000000
91536,8,1,26,145,57603,1000000
199085,35,1,13,274,57604,25490
35182,9,1,10,258,57604,1000000
82917,19,0,24,210,57604,30106
2965,3,1,18,135,57605,1000000
126647,72,1,6,101,57605,73
102194,15,1,20,245,57606,1000000
100212,18,1,16,134,57606,1000000
125100,150,1,19,110,57607,1000000
57546,29,1,41,213,57607,224
189682,35,1,13,21,57607,27430
64516,8,1,28,145,57607,1000000
24200,19,88,24,213,57607,44324
85577,6,1,15,125,57608,1000000
186732,12,1,13,265,57608,1000000
206654,128,1,13,243,57609,73
64663,15,1,53,245,57609,1000000
37801,29,1,19,213,57609,78
111129,18,3032,607,107,57610,1000000
152282,19,0,24,213,57610,133
49431,15,1,28,140,57610,1000000
165595,19,379,24,213,57610,71734
30314,8,1,19,140,57610,41289
1890,27,1,13,122,57611,2462
153540,2,1,19,213,57611,168
163643,45,1,41,213,57611,111
142935,2,1,13,435,57611,1000000
9874,1,1,13,452,57612,1000000
31494,8,1,19,145,57612,45216
155000,8,1,19,145,57612,71662
106200,10,1,44,101,57612,6810
109644,3,1,11,137,57612,1000000
27878,64,1,13,459,57613,1000000
172827,35,1,25,274,57613,2856
74732,35,1,13,21,57613,70842
104945,3,1,10,135,57613,1000000
133797,12,1,13,245,57614,1000000
206255,2,1,22,213,57614,295
78085,12,1,23,178,57615,1000000
108858,21,1,19,128,57615,1000000
106281,19,21,24,213,57615,76
50275,12,1,19,259,57616,1000000
87946,21,1,13,128,57616,1000000
45419,15,1,19,111,57617,1000000
197542,110,1,20,210,57617,26621
89477,3,1,17,489,57617,1000000
73487,11,1,17,481,57618,526
8301,23,1,37,153,57618,1000000
200504,29,1,19,101,57618,85
